Litigation Title,Citation,Other Citations (Cases) That Might be Relevant,Court,Circuit,Year,State,Covered,Case Type,Practice Challenged,Governing Body,Suit Filed Subsequent to Shelby County,Practice Enacted Subsequent to Shelby County,Success,Intent,Violation,Considered Gingles Factors,G1c - large and compact,G1f,G2c - cohesive,G2f,G3c - maj block voting,G3f,Gall,Considered Senate Factors,1c - history,1f,2c - polarized,2f,3c - disc practices,3f,4c - slating,4f,5c - effects,5f,6c - racial appeals,6f,7c - minority officials,7f,8c - responsiveness,8f,9c - policy justification,9f,African American,Latino,Native American,Asian,Multi,White,Other
Muntaqim v. Coombe,449 F.3d 371,,2d Cir,2,2006,NY,N,Preliminary,Felon Disenfranchisement,State,N,N,N,,,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,,N
Hayden v. Pataki,449 F.3d 305,,2d Cir,2,2006,NY,N,Liability,Felon Disenfranchisement,State,N,N,N,,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,Y,,N
Cottier v. City of Martin,2005 WL 6949764,,D.S.D.,8,2005,SD,N,Liability,Reapportionment/Redistricting Plan (city ward lines),City,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,Y,N,N,,N
Diffenderfer v. Gomez-Colon,587 F.Supp.2d 338,,D.P.R.,1,2008,PR,N,Liability,Election Procedure (ballot language),State,N,N,Y,,Y,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,N,,Y (English speakers)
Ross v. Texas Educ. Agency,2009 WL 3254935,,S.D. Tex.,5,2009,TX,Y,Liability,Other (shift from election to appointment of official),State,N,N,N,N,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,N
"Reyes v. City of Farmers Branch, Texas",2008 WL 4791498,,N.D. Tex.,5,2008,TX,Y,Liability,At-Large Elections,City,N,N,N,N,N,Y,Y,N,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,Y,N,N,N,N,N
Lowery v. Deal,850 F.Supp.2d 1326,,N.D. Ga.,11,2012,GA,Y,Liability,Other (creation of a municipality),State,N,N,N,N,N,Y,Y,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,N
Rios-Andino v. Orange County,51 F.Supp.3d 1215,,M.D. Fla.,11,2014,FL,N,Liability,Reapportionment/Redistricting Plan (county district lines),County,N,N,N,,N,Y,Y,N,N,,Y,N,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,Y,N,N,N,N,N
Boddie v. Cleveland School Dist.,2010 WL 231749,,N.D. Miss.,5,2010,MS,Y,Liability,Reapportionment/Redistricting Plan (school district),School,N,N,Y,,,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,N
Brown v. Detzner,895 F.Supp.2d 1236,,M.D. Fla.,11,2012,FL,N,Preliminary,Election Procedure (early voting days),State,N,N,N,N,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,,N
Garcia v. 2011 Legislative Reapportionment Com'n,938 F.Supp.2d 542,,E.D. Pa.,3,2013,PA,N,Liability,Reapportionment/Redistrcting Plan (district lines),State,N,N,N,N,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,Y,N,N,N,N,
York v. City of St. Gabriel,89 F.Supp.3d 843,,M.D. La.,5,2015,LA,Y,Liability,At-large Elections,City,Y,N,N,N,N,Y,Y,Y,Y,N,N,,N,Y,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N
Clayton v. Forrester,2014 WL 6612066,,M.D. Tenn.,6,2014,TN,N,Liability,Other (interference with candidate campaign),State,Y,Y,N,,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,N,N,
Phillips v. Snyder,836 F.3d 707,,6th Cir.,6,2016,MI,N,Liability,Other (Appointment of Emergency Manager),State,Y,N,N,,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,,N
Perkins v. McAdams,2014 WL 4851286,,N.D. Miss.,5,2014,MS,Y,Preliminary,Election Procedure (provisional ballots),City,N,N,N,,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,
Ford v. Strange,580 Fed.Appx. 701,2013 WL 6804191,11th Cir,11,2014,AL,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barber v. Bice,44 F.Supp.3d 1182,N.D. Ala.,,11,2014,AL,Y,Liability,Other (Shift from elected to appointed school board),State,N,N,N,,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,y,N,N,N,N,N,N
Benavidez v. Irving Independent School Dist.,2014 WL 4055366,N.D. Tex.,,5,2014,TX,Y,Liability,"At-Large Elections (Mixed, 5-2)",School,N,N,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,,,Y,Y,,,Y,Y,,,,,N,Y,N,N,N,N,N
Terrebonne Parish Branch NAACP v. Jindal,2017 WL 3574878,M.D. La.,,5,2017,LA,Y,Liability,At Large Elections,State,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,Y,Y,N,,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N
Texas v. United States,49 F.Supp.3d 27,,D.D.C.,DC,2014,TX,Y,Fees,Redistricting,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cisneros v. Pasadena Independent School Dist.,2014 WL 1668500,,S.D. Tex.,5,2014,TX,Y,Liability,At-Large Elections,School,N,N,N,,N,Y,Y,N,Y,Y,Y,N,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,Y,N,N,N,,N
"Harris v. City of Texarkana, Ark",2015 WL 128576,,W.D. Ark.,8,2015,AR,N,Liability,Reapportionment/ Redistricting Plan (city ward lines),City,N,N,N,N,N,Y,Y,N,N,,Y,N,N,Y,N,,Y,N,N,,N,,N,,N,,Y,N,N,,N,,Y,N,N,N,N,,N
Luna v. County of Kern,291 F.Supp.3d 1088,,E.D. Cal.,9,2018,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rios-Andino v. Orange County,51 F.Supp.3d 1215,,M.D. Fla.,11,2014,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fabela v. City of Farmers Branch, Tex.",2012 WL 3135545,,N.D. Tex.,5,2013,TX,Y,Liability,At-Large Elections,City,N,N,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,Y,Y,Y,Y,N,,N,,N,,Y,Y,N,,N,,N,Y,N,N,N,,N
Greater Birmingham Ministries v. Merrill,2018 WL 348009,,N.D. Ala.,11,2018,AL,Y,Liability,Election Procedure (voter ID),State,Y,Y,N,N,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,Y,,N
Bear v. County of Jackson,2015 WL 1969760,2016 WL 3435181 (motion to dismiss granted because of settlement),D.S.D.,8,2015,SD,N,Preliminary,Election Procedure (absentee voting),County,Y,Y,Y,Y,,N,N,,N,,N,,N,Y,Y,,Y,,N,,N,,Y,,N,,N,,N,,Y,,N,N,Y,N,N,N,
U.S. v. Village of Port Chester,704 F.Supp.2d 411,,S.D.N.Y.,2,2010,NY,N,Liability,At-large Elections,City,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,N,,N,Y,N,N,N,N,
"Benavidez v. Irving Independent School Dist., Tex.",690 F.Supp.2d 451,,N.D. Tex.,5,2010,TX,Y,Liability,At-large Elections,School,N,N,N,,N,Y,Y,N,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,Y,N,N,N,N,
Bartlett v. Strickland,129 S.Ct. 1231,,U.S.,4,2009,NC,N,Liability,Redistricting Plan,State,N,N,N,,N,Y,Y,N,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,
Nelson v. Dean,528 F.Supp.2d 1271,,N.D. Fla.,11,2007,FL,N,Liability,Election Procedure (primary scheduling),State,N,N,N,N,N,N,N,,N,,N,,,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,N,N,
"U.S. v. Osceola County, FL",474 F.Supp.2d 1254,475 F.Supp.2d 1220 [this is the trial opinion and looks at the Gingles criteria and Senate factors; the opinion I read just rejects a remedy as insufficient without going into any analysis],M.D. Fla.,11,2006,FL,N,Remedy,At-large Elections (remedial plan),County,N,N,Y,,,N,N,,N,,N,,,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,Y,N,N,N,,N
"U.S. v. Osceola County, FL",475 F.Supp.2d 1220,475 F.Supp.2d 1254,M.D.Fla.,11,2006,FL,N,Liability,at-large elections,County,N,N,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,Y,Y,N,,Y,Y,N,,N,,N,Y,N,N,N,N,
Romo v. Detzner,2014 WL 3797315,,Fla. Cir. Ct.,11,2014,FL,N,Liability,Reapportionment/Resdistricting Plan,State,N,N,Y,Y,,Y,Y,N,N,,Y,N,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,Y,N,
In re 2012 Legislative Districting,80 A.3d 1073,,Md.,4,2013,MD,N,Liability,Reapportionment/Redistrcting Plan,State,N,N,N,N,N,Y,Y,N,Y,N,Y,N,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,
Alabama Legislative Black Caucus v. Alabama,988 F.Supp.2d 1285,,M.D. Ala.,11,2013,AL,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farrakhan v. Gregoire,623 F.3d 990,,9th Cir.,9,2010,WA,N,Liability,Felon Disenfranchisement,State,N,N,N,,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,Y,N,
Molina v. County of Orange,2013 WL 3009716,,S.D.N.Y,2,2013,NY,N,Remedy,Reapportionment (district lines),County,N,N,Y,,,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,Y,N,
Jeffers v. Beebe,895 F.Supp.2d 920,,E.D. Ark.,8,2012,AR,N,Liability,Reapportionment/Redistrcting Plan,State,N,N,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,
"Levy v. Lexington County, S.C., School Dist. Three Bd. of Trustees",2012 WL 1229511,,D.S.C.,4,2012,SC,Y,Liability,At-large Elections,School,N,N,N,,N,Y,N,,N,,Y,N,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,
U.S. v. Brown,494 F.Supp.2d 440,2007 WL 2461965 (this is the remedy follow-up); 561 F.3d 420 (this affirms the lower court),S.D. Miss.,5,2007,MS,Y,Liability,Other (Explicitly racial campaigns; Abuses of the absentee ballot system),County,N,N,Y,Y,Y,N,N,,N,,N,,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y (white),
"Gonzalez v. City of Aurora, Illinois",535 F.3d 594,,7th Cir.,7,2008,IL,N,Liability,Reapportionment/Redistricting Plan,City,N,N,N,,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,Y,N,N,N,N,
"Fairley v. Hattiesburg, Miss.",584 F.3d 660,,5th Cir.,5,2009,MS,Y,Liability,Reapportionment/Redistricting Plan,City,N,N,N,N,N,Y,Y,N,N,,N,,N,Y,Y,N,Y,Y,Y,N,N,,Y,N,N,,Y,N,Y,N,N,,Y,N,N,N,N,N,
U.S. v. Village of Port Chester,704 F.Supp.2d 411,,S.D.N.Y.,2,2010,NY,N,Liability,At-large Elections,City,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,N,,N,Y,N,N,N,N,
"Large v. Fremont County, Wyo.",2010 WL 11508507,,D. Wyo.,10,2010,WY,N,Remedy,At-Large Elections (remedial plan),County,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,Y,N,N,N,
Fletcher v. Lamone,831 F.Supp.2d 887,,D. Md.,4,2011,MD,N,Liability,Redistricting Plan (district lines),State,N,N,N,N,N,Y,Y,N,N,,Y,N,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,
Hall v. Louisiana,108 F.Supp.3d 419,,M.D. La.,5,2015,LA,Y,Liability,Redistricting Plan (city court judicial elections),State,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,
Montes v. City of Yakima,40 F.Supp.3d 1377,,E.D. Wash.,9,2014,WA,N,Liability,at-large elections,City,N,N,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,,Y,Y,N,,N,,N,Y,N,n,n,n,n
"Fabela v. City of Farmers Branch, Tex.",2012 WL 3135545,,N.D. Tex,5,2012,TX,Y,Liability,at-large elections,City,N,N,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,Y,Y,Y,Y,N,,N,,N,,Y,Y,N,,N,,N,Y,N,n,n,n,n
Wright v. Louisville Metro Council,2012 WL 2089529,,W.D. Ky.,6,2012,KY,N,Liability,Reapportionment/Redistricting Plan (City Council Lines),County,N,N,N,,N,Y,Y,N,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,y,N,N,N,N,N,
NAACP v. Snyder (cracking),879 F.Supp.2d 662,,E.D. Mich.,6,2012,MI,N,Liability,Reapportionment/Redistricting Plan,State,N,N,N,N,N,Y,Y,N,Y,N,Y,N,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,Y,N,N
NAACP v. Snyder (incumbent),879 F.Supp.2d 662,,E.D. Mich.,6,2012,MI,N,Liability,Election Procedure (incumbent pairing),State,N,N,N,N,N,Y,Y,N,N,,Y,N,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,Y,N,N
Broward Citizens for Fair Districts v. Broward County,2012 WL 1110053,"5/9/2012 Order on Motion to Dismiss For Failure to State a Claim (emailed, found on Lexis)",S.D. Fla.,11,2012,FL,N,Liability,Reapportionment/Redistricting Plan (County Commission Lines),County,N,N,N,N,N,Y,Y,N,Y,N,Y,N,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,N,Y,
Backus v. South Carolina,857 F.Supp.2d 553,,D.S.C.,4,2012,SC,Y,Liability,Reapportionment/Redistricting Plan (Congressional District Lines),State,N,N,N,N,N,Y,Y,N,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,
Stenger v. Kellett,2012 WL 601017,,E.D. Mo.,8,2012,MO,N,Remedy,Reapportionment (district lines),County,N,N,Y,,,Y,Y,Y,Y,Y,Y,N,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,
Committee for a Fair and Balanced Map v. Illinois State Bd. of Elections,835 F.Supp.2d 563,,N.D. Ill.,7,2011,IL,N,Liability,Reapportionment (district lines),State,N,N,N,N,N,Y,Y,N,N,,Y,N,N,Y,Y,Y,Y,Y,N,,N,,Y,Y,N,,Y,N,N,,N,N,N,Y,N,N,N,N,
Radogno v. Illinois State Bd. of Elections,836 F.Supp.2d 759,568 U.S. 801 (2012) (judgment affirmed),N.D. Ill.,7,2011,IL,N,Liability,Reapportionment/Redistricting plan (state district lines),State,N,N,N,N,N,Y,N,,N,,Y,N,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,Y,N,
Gould v. Schneider,2011 WL 777902,,C.D. Ill.,7,2011,IL,N,Liability,Election Procedure (petition objections),State,N,N,N,,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,
Radford v. Erie County Bd. of Elections,2011 WL 4527327,,W.D.N.Y.,2,2011,NY,N,Preliminary,Election Procedure (invalid candidate included on absentee ballots),County,N,N,N,,,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,N
Guillory v. Avoyelles Parish School Bd.,2011 WL 499196,,W.D. La.,5,2011,LA,Y,Liability,Other (Board in violation of consent decree),School,N,N,Y,N,,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,N
Guillory v. Avoyelles Parish School Bd.,2011 WL 499196,,W.D. La.,5,2011,LA,Y,Liability,Other (plaintiff was misled and ran for a district she didn't reside in),County,N,N,N,N,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,N
"Large v. Fremont County, Wyoming",670 F.3d 1133,,10th Cir.,10,2012,WY,N,Liability,At-large Elections (hybrid remedial plan),County,N,N,Y,,,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,Y,N,N,N,N
"Perry-Bey v. City of Norfolk, Va.",679 F.Supp.2d 655,,E.D. Va.,4,2010,VA,Y,Preliminary,Other (shift from appointment to election of official),City,N,N,N,N,,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,N
Bone Shirt v. Hazeltine,461 F.3d 1011,,8th Cir.,8,2006,SD,N,Liability,Reapportionment/Redistricting Plan (state district lines),State,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,N,,N,,N,,Y,Y,N,,N,,N,N,Y,N,N,N,N
Lopez v. City of Houston,2009 WL 1456487,,S.D. Tex.,5,2009,TX,Y,Liability,"At-large Elections (mixed, 9-5)",City,N,N,N,,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,Y,N,N
Vallejo v. City of Tucson,2009 WL 1835115,,D. Ariz.,9,2009,AZ,Y,Liability,Election Procedure (voter ID),City,N,N,N,N,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,Y,N,N,N,N,N
Plump v. Riley,2009 WL 2960385,,M.D. Ala.,11,2009,AL,Y,Preliminary,Other (shift from election to appointment of official),State,N,N,N,,,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,N,N,N
Simmons v. Galvin,575 F.3d 24,,1st Cir.,1,2009,MA,N,Liability,Felon Disenfranchisement,State,N,N,N,,,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,Y,N,N
Smith v. Commonwealth of Virginia,2009 WL 2175759,,E.D. Va.,4,2009,VA,Y,Liability,Election Procedure (voter registration),State,N,N,N,,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,N
